City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,teguise,29.0605,-13.564,22.12,78,20,12.86,ES,1692049931
153,puerto ayora,-0.7393,-90.3518,26.98,82,71,2.24,EC,1692049742
154,gargalianoi,37.0667,21.6333,20.34,65,0,1.53,GR,1692049932
155,moussoro,13.6408,16.4901,29.13,59,31,1.05,TD,1692049932
156,lagoa,39.05,-27.9833,23.55,85,61,5.09,PT,1692049932
157,bryne,58.7354,5.6477,15.13,95,75,3.6,NO,1692049932
158,benghazi,32.1167,20.0667,26.05,67,0,4.12,LY,1692049930
159,berezovo,63.9381,65.0419,16.75,94,89,2.39,RU,1692049933
160,izberbash,42.5696,47.8645,25.05,71,0,4.01,RU,1692049933
161,arraial do cabo,-22.9661,-42.0278,18.98,94,100,4.12,BR,1692049921
162,mejit,10.2753,170.8646,28.49,81,45,8.27,MH,1692049739
163,mount isa,-20.7333,139.5,9.87,81,58,0.0,AU,1692049753
164,codrington,-38.2667,141.9667,3.89,90,8,3.1,AU,1692049759
165,dudinka,69.4058,86.1778,11.46,76,94,1.8,RU,1692049775
166,kapa'a,22.0752,-159.319,30.18,71,20,5.66,US,1692049724
167,prince rupert,54.3161,-130.3201,18.05,72,40,2.57,CA,1692049935
168,ebon,4.582,168.6964,27.49,80,81,4.32,MH,1692049935
169,punta arenas,-53.15,-70.9167,0.12,71,34,6.84,CL,1692049726
170,mount pearl,47.5166,-52.7813,17.14,92,75,2.57,CA,1692049935
171,castlegar,49.2998,-117.6689,39.43,18,0,0.75,CA,1692049935
172,seorinarayan,21.7333,82.5833,25.73,78,85,2.0,IN,1692049936
173,constantia,44.1833,28.65,22.61,69,22,7.98,RO,1692049758
174,yazykovo,55.2199,56.1353,16.84,45,37,1.62,RU,1692049936
175,chitose,42.8194,141.6522,24.25,78,75,4.12,JP,1692049936
176,berezovyy,51.6667,135.7,18.44,94,97,0.68,RU,1692049936
177,minas de marcona,-15.2119,-75.1103,16.61,67,5,4.16,PE,1692049726
178,graaff-reinet,-32.2522,24.5308,9.4,84,42,3.31,ZA,1692049937
179,miandrivazo,-19.5167,45.4667,23.17,62,72,0.4,MG,1692049937
180,i-n-salah,27.1935,2.4607,35.99,12,0,9.44,DZ,1692049937
181,yangon,16.8053,96.1561,24.98,100,100,1.03,MM,1692049937
182,egilsstadir,65.2653,-14.3948,9.95,71,0,1.54,IS,1692049938
183,san jose de jachal,-30.2406,-68.7469,22.69,11,99,0.71,AR,1692049938
184,neem ka thana,27.7333,75.8,27.05,68,100,2.68,IN,1692049938
185,ust'-kut,56.7938,105.7672,18.59,74,100,0.52,RU,1692049938
186,yellowknife,62.456,-114.3525,17.45,64,100,4.12,CA,1692049723
187,fallon,39.4735,-118.7774,33.29,23,75,3.6,US,1692049737
188,pacific grove,36.6177,-121.9166,27.99,79,0,4.92,US,1692049860
189,fale old settlement,-9.3852,-171.2468,28.31,79,96,9.2,TK,1692049785
190,humaita,-7.5061,-63.0208,30.45,45,73,1.49,BR,1692049940
191,richards bay,-28.783,32.0377,19.93,89,44,5.11,ZA,1692049763
192,belo sur tsiribihina,-19.7,44.55,21.59,79,77,1.14,MG,1692049940
193,tashla,51.7716,52.7427,24.5,28,97,2.41,RU,1692049940
194,kristinestad,62.2743,21.376,16.17,88,31,3.42,FI,1692049941
195,hithadhoo,-0.6,73.0833,27.58,75,100,3.55,MV,1692049760
196,iskateley,67.6803,53.1512,13.86,80,85,3.87,RU,1692049745
197,afaahiti,-17.75,-149.2833,26.93,77,77,4.82,PF,1692049730
198,griffith,41.5284,-87.4237,21.7,95,100,3.09,US,1692049942
199,juan griego,11.0817,-63.9655,32.07,66,5,6.69,VE,1692049942
200,culaba,11.6578,124.5425,27.16,83,48,2.98,PH,1692049943
201,huruta,8.15,39.35,15.89,78,37,2.34,ET,1692049943
202,amos,48.5669,-78.1162,19.29,70,99,0.98,CA,1692049943
203,sao vicente,-23.9631,-46.3919,21.1,62,100,0.51,BR,1692049944
204,lompoc,34.6391,-120.4579,26.58,75,75,3.09,US,1692049944
